node1_uniprot_id,node2_uniprot_id
Q6UUV9,O00712
P10721,P13647
P10243,O00712
P15056,P29992
P15056,P01563
P02771,P10645
P02771,P06731
P02771,P01116
P02771,P12830
P02771,P04637
P02771,P04626
P02771,P00533
P02771,O14746
P02771,O00482
P02771,Q99626
P02771,P31749
P02771,P01106
P02771,P35222
P02771,P01344
P31749,P06731
P31749,P01116
P31749,P12830
P31749,P04637
P31749,P04626
P31749,P00533
P31749,P61278
P31749,O14746
P31749,O00255
P31749,Q13485
P31749,Q5JWF2
P31749,P01344
P31749,P42771
P31749,P01106
P31749,P35222
P12830,P10645
P12830,P06731
P12830,P01116
P12830,P01344
P12830,O14746
P12830,Q02817
P12830,Q99626
P12830,O00255
P12830,P42771
P12830,Q13485
P12830,P01106
P12830,P04637
P12830,P04626
P12830,P35222
P12830,P00533
P42771,P06731
P42771,P01116
P42771,P04637
P42771,P04626
P42771,P00533
P42771,O14746
P42771,O00255
P42771,Q13485
P42771,Q5JWF2
P42771,Q99626
P42771,P01344
P42771,Q6W4X9
P42771,P35222
P42771,P01106
Q99626,P10645
Q99626,P06731
Q99626,P01116
Q99626,P04637
Q99626,P04626
Q99626,P00533
Q99626,P01350
Q99626,Q13485
Q99626,P01106
Q99626,P35222
Q99626,Q6W4X9
Q99626,Q02817
P06731,P10645
P06731,P01106
P06731,Q13485
P06731,O14746
P06731,P35222
P06731,P61278
P06731,P01350
P06731,Q5JWF2
P06731,Q6W4X9
P06731,Q02817
P06731,P04637
P06731,P01116
P06731,P00533
P06731,P04626
P10645,P09683
P10645,P00533
P10645,P35222
P10645,Q6W4X9
P10645,P04637
P10645,Q02817
P10645,O00255
P10645,P01298
P10645,P01350
P10645,P61278
P35222,P01116
P35222,P04637
P35222,P04626
P35222,P00533
P35222,O14746
P35222,P01350
P35222,O00255
P35222,Q13485
P35222,O00482
P35222,Q5JWF2
P35222,P01344
P35222,Q6W4X9
P35222,P01106
P35222,Q02817
Q6GPI1,P09683
Q6GPI1,P01298
P00533,P01116
P00533,P04637
P00533,P04626
P00533,Q6W4X9
P00533,Q02817
P00533,O14746
P00533,Q5JWF2
P00533,Q13485
P00533,P01344
P00533,P01106
P04626,P01116
P04626,P04637
P04626,Q6W4X9
P04626,Q02817
P04626,Q5JWF2
P04626,O14746
P04626,Q13485
P04626,P01344
P04626,P01106
P01350,P09683
P01350,P61278
P01350,Q6W4X9
P01350,O00255
P01350,P01298
Q5JWF2,P09683
Q5JWF2,P01116
Q5JWF2,P04637
Q5JWF2,P61278
Q5JWF2,O14746
Q5JWF2,O00255
Q5JWF2,Q13485
Q5JWF2,Q6W4X9
Q5JWF2,Q02817
Q5JWF2,P01106
Q5JWF2,P01344
P01344,P01116
P01344,P04637
P01344,P61278
P01344,O14746
P01344,P01106
P01116,O00255
P01116,Q02817
P01116,Q6W4X9
P01116,O14746
P01116,P01106
P01116,Q13485
P01116,P04637
O00255,P09683
O00255,P04637
O00255,P61278
O00255,O14746
O00255,P01298
O00255,P01106
O00255,Q13485
Q02817,P04637
Q02817,Q6W4X9
Q6W4X9,P04637
Q6W4X9,Q13485
P01106,P04637
P01106,O14746
P01106,Q13485
P01106,O00482
P01106,Q92900
P01298,P09683
P01298,P61278
P09683,P61278
Q13485,P04637
Q13485,O14746
P61278,P04637
O14746,P04637
O14746,Q92900
Q92900,Q9HAU5
Q6ZQX7,P10721
Q6ZQX7,P42771
Q6ZQX7,Q99626
P01730,P42771
P01730,P10721
P42771,P10721
Q99626,P10721
Q8TC20,Q9UK85
Q8TC20,P06731
Q8TC20,Q15907
P06731,Q15907
Q9UK85,Q15907
P60709,P02533
P60709,P08151
P60709,Q99835
P60709,P13647
P60709,P04264
P60709,P12830
P60709,P08247
P60709,P14679
P60709,P04637
P60709,P04626
P60709,Q99541
P60709,Q13315
P60709,P10721
P60709,Q9UMX9
P60709,Q15465
P60709,P35408
P60709,O14746
P60709,P06401
P60709,Q13635
P60709,Q14790
P60709,Q05682
P60709,P01111
P60709,Q9NYK1
P60709,Q9NZQ7
P60709,O75030
P60709,P04049
P60709,P42771
P60709,P15056
P60709,P09104
P60709,P16410
Q13315,P08151
Q13315,P40692
Q13315,P43246
Q13315,P12830
Q13315,P04637
Q13315,P04626
Q13315,P08922
Q13315,Q9NRH2
Q13315,P16410
Q13315,P06401
Q13315,P10721
Q13315,Q13635
Q13315,P01111
Q13315,Q9NZQ7
Q13315,P15056
Q13315,O14746
Q13315,P42771
Q13315,Q14790
P15056,P35900
P15056,P40692
P15056,P43246
P15056,P13647
P15056,P12830
P15056,P08247
P15056,P14679
P15056,P04637
P15056,P04626
P15056,P10721
P15056,O14746
P15056,P06401
P15056,P08729
P15056,Q13635
P15056,Q14790
P15056,Q6ZQX7
P15056,P08922
P15056,P01111
P15056,Q16655
P15056,Q9NZQ7
P15056,O75030
P15056,P04049
P15056,P42771
P15056,Q01726
P15056,P16410
Q6ZQX7,P02533
Q6ZQX7,P40692
Q6ZQX7,P43246
Q6ZQX7,P13647
Q6ZQX7,P12830
Q6ZQX7,P08247
Q6ZQX7,P04637
Q6ZQX7,P04626
Q6ZQX7,P12273
Q6ZQX7,P35408
Q6ZQX7,Q04695
Q6ZQX7,P06401
Q6ZQX7,P08729
Q6ZQX7,Q9NZQ7
Q6ZQX7,Q05682
Q6ZQX7,P09104
Q05682,P35900
Q05682,P13647
Q05682,P08247
Q05682,P04637
Q05682,P10721
Q05682,P06401
Q05682,P08729
Q05682,P09104
Q14790,P12830
Q14790,P04637
Q14790,P04626
Q14790,O14746
Q14790,Q9NR97
Q14790,P04049
Q14790,Q9NZQ7
Q14790,Q9NYK1
Q14790,P42771
Q14790,Q9NQC7
Q9NZQ7,P35900
Q9NZQ7,P40692
Q9NZQ7,P43246
Q9NZQ7,P13647
Q9NZQ7,P12830
Q9NZQ7,P14679
Q9NZQ7,P04637
Q9NZQ7,P04626
Q9NZQ7,P10721
Q9NZQ7,O14746
Q9NZQ7,Q9NR97
Q9NZQ7,P06401
Q9NZQ7,P08729
Q9NZQ7,P08922
Q9NZQ7,P01111
Q9NZQ7,Q9NYK1
Q9NZQ7,P42771
Q9NZQ7,P16410
P12830,P02533
P12830,P35900
P12830,P08151
P12830,P40692
P12830,P43246
P12830,Q99835
P12830,P13647
P12830,P04264
P12830,P16410
P12830,P01111
P12830,P08247
P12830,Q04695
P12830,Q13635
P12830,P12273
P12830,P10721
P12830,Q15465
P12830,P04049
P12830,P06401
P12830,P08729
P42771,P02533
P42771,P35900
P42771,P08151
P42771,P40692
P42771,P43246
P42771,P13647
P42771,P08247
P42771,P14679
P42771,Q15465
P42771,P06401
P42771,P08729
P42771,Q13635
P42771,P08922
P42771,P01111
P42771,O75030
P42771,P04049
P42771,P16410
P42771,Q01726
P42771,Q13126
Q96KA5,P14679
Q96KA5,Q9UMX9
Q96KA5,O14746
Q96KA5,Q01726
Q6UUV9,P04049
P16410,P40692
P16410,P43246
P16410,P14679
P16410,P04637
P16410,P04626
P16410,P10721
P16410,O14746
P16410,Q9NR97
P16410,P08922
P16410,P01111
P16410,Q9NYK1
Q9NQC7,P04637
P09104,P02533
P09104,P35900
P09104,P13647
P09104,P08247
P09104,P04637
P09104,P04626
P09104,P10721
P09104,P06401
P09104,P08729
P04626,P02533
P04626,P35900
P04626,P08151
P04626,P40692
P04626,P43246
P04626,Q99835
P04626,P13647
P04626,P08247
P04626,P14679
P04626,P08922
P04626,P04049
P04626,Q9NYK1
P04626,Q13635
P04626,Q04695
P04626,Q15465
P04626,P12273
P04626,P08729
P04626,P01111
P04626,P06401
Q9BPY3,Q86Y26
P08151,P02533
